filename	id	split	dataset
01617203_4574281148.jpg	10.0	test	sacre
01723814_7963028620.jpg	11.0	test	sacre
01869503_423585659.jpg	13.0	test	sacre
03945444_5922954678.jpg	35.0	test	sacre
04808852_3532579721.jpg	51.0	test	sacre
07643413_4366433493.jpg	76.0	test	sacre
10162786_7360656560.jpg	98.0	test	sacre
10660637_2917767044.jpg	109.0	test	sacre
10980851_159911107.jpg	110.0	test	sacre
12872711_4632849327.jpg	131.0	test	sacre
12918127_280528939.jpg	132.0	test	sacre
17616986_7085723791.jpg	183.0	test	sacre
18244579_9045725729.jpg	192.0	test	sacre
21354369_4541251690.jpg	218.0	test	sacre
22149990_8353059094.jpg	224.0	test	sacre
23405080_2639976634.jpg	239.0	test	sacre
24454809_14006921991.jpg	251.0	test	sacre
24540065_12909555815.jpg	252.0	test	sacre
24887636_5651358818.jpg	256.0	test	sacre
25422767_2496685776.jpg	262.0	test	sacre
25927611_9367586008.jpg	267.0	test	sacre
00318781_8039756060.jpg	2.0	train	sacre
00508355_4347298255.jpg	3.0	train	sacre
01012753_375984446.jpg	6.0	train	sacre
01109541_5817351237.jpg	8.0	train	sacre
01606161_5223112207.jpg	9.0	train	sacre
01790346_189659192.jpg		train	sacre
01930654_7662043242.jpg	14.0	train	sacre
02085496_6952371977.jpg	16.0	train	sacre
02099432_2588386443.jpg	17.0	train	sacre
02264861_5734411656.jpg	18.0	train	sacre
02580991_8300101521.jpg	19.0	train	sacre
02786360_4030483701.jpg		train	sacre
02799711_6130485861.jpg		train	sacre
02814537_6916036366.jpg	22.0	train	sacre
02928139_3448003521.jpg	24.0	train	sacre
02933228_4036000307.jpg	25.0	train	sacre
02947737_2285016530.jpg	26.0	train	sacre
02957488_2184292184.jpg	27.0	train	sacre
03257649_3859474410.jpg		train	sacre
03337951_335877896.jpg	30.0	train	sacre
03599123_13889501361.jpg	31.0	train	sacre
03654060_2228949569.jpg	32.0	train	sacre
03836329_3380486130.jpg	33.0	train	sacre
03903474_1471484089.jpg	34.0	train	sacre
04073909_6377255611.jpg	36.0	train	sacre
04115165_9295745257.jpg	37.0	train	sacre
04185278_10011921463.jpg	38.0	train	sacre
04387985_3432635013.jpg	40.0	train	sacre
04408102_2916920065.jpg	43.0	train	sacre
04477856_4856961901.jpg	44.0	train	sacre
04543624_3663972093.jpg	45.0	train	sacre
04607533_6219238873.jpg	46.0	train	sacre
04671520_6574800359.jpg	47.0	train	sacre
04740313_3519133909.jpg	49.0	train	sacre
04761794_5627543850.jpg	50.0	train	sacre
04822190_12621366523.jpg	52.0	train	sacre
04915709_121816865.jpg	53.0	train	sacre
05018938_3152967293.jpg	54.0	train	sacre
05309256_5316639921.jpg		train	sacre
05383315_4256744078.jpg	56.0	train	sacre
05925733_2718809034.jpg	57.0	train	sacre
05989658_2629444759.jpg	58.0	train	sacre
06083741_6775741943.jpg	59.0	train	sacre
06423637_6065403341.jpg		train	sacre
06447604_8440508024.jpg	63.0	train	sacre
06509715_220187391.jpg		train	sacre
06510672_7042157629.jpg	65.0	train	sacre
06603681_6623209697.jpg	66.0	train	sacre
06632036_566711823.jpg	67.0	train	sacre
06708261_13898670284.jpg	69.0	train	sacre
07251208_9118340426.jpg	73.0	train	sacre
07475389_4245726034.jpg		train	sacre
07490327_4594139917.jpg	75.0	train	sacre
07885041_2904996279.jpg	77.0	train	sacre
07975920_2556372580.jpg	78.0	train	sacre
08047759_7746982324.jpg	80.0	train	sacre
08081221_11367454663.jpg	81.0	train	sacre
08124432_3626165332.jpg		train	sacre
08233939_9136686088.jpg	83.0	train	sacre
08237560_7296316440.jpg	84.0	train	sacre
08319155_4244960671.jpg	85.0	train	sacre
08749671_4698877746.jpg	87.0	train	sacre
08769241_6640072705.jpg	88.0	train	sacre
08870111_23776769.jpg	89.0	train	sacre
09199317_7932673946.jpg	91.0	train	sacre
09360208_8329238994.jpg	92.0	train	sacre
09906423_9611413320.jpg	94.0	train	sacre
10050081_2656905474.jpg	95.0	train	sacre
10080486_2377070130.jpg	96.0	train	sacre
10111184_4353710583.jpg	97.0	train	sacre
10169127_5408342646.jpg		train	sacre
10265353_3838484249.jpg	100.0	train	sacre
10335428_396311022.jpg	101.0	train	sacre
10372335_3056167102.jpg	102.0	train	sacre
10404924_2591342304.jpg	103.0	train	sacre
10446545_7626444380.jpg	104.0	train	sacre
10474405_6093717701.jpg	105.0	train	sacre
10520732_189478075.jpg	106.0	train	sacre
10531349_2406366288.jpg	107.0	train	sacre
10645349_10544831194.jpg	108.0	train	sacre
11070535_8846296036.jpg		train	sacre
11142706_3028963949.jpg	113.0	train	sacre
11173357_5349727279.jpg	114.0	train	sacre
11689471_2817029789.jpg	116.0	train	sacre
11710502_3849613070.jpg	117.0	train	sacre
11790029_4941329754.jpg	118.0	train	sacre
11796461_464225425.jpg	119.0	train	sacre
12014073_8028560860.jpg	121.0	train	sacre
12020369_427217424.jpg	122.0	train	sacre
12060097_10141374576.jpg		train	sacre
12279090_8683788369.jpg	125.0	train	sacre
12365089_8352000383.jpg		train	sacre
13402995_4460408839.jpg	133.0	train	sacre
13469857_8216005002.jpg	134.0	train	sacre
13798591_1249515807.jpg	135.0	train	sacre
14147343_3383542022.jpg	137.0	train	sacre
14702458_3061790008.jpg	139.0	train	sacre
14756654_8345719249.jpg	140.0	train	sacre
